Amount,MerchantCategory,TransactionType,Latitude,Longitude,AvgTransactionAmount,TransactionFrequency,UnusualLocation,UnusualAmount,NewDevice,FailedAttempts,FraudFlag,Hour,DayOfWeek,User_Transaction_Count,IP_Frequency,Phone_Usage_Count
8589.0,Electronics,P2M,23.3544775,-40.536076,670.31,5/day,False,True,False,2,True,3,0,1,1,1
9090.54,Electronics,P2M,-62.956912,-102.511919,7265.96,3/day,False,True,False,2,False,13,0,1,1,1
8814.41,Electronics,P2P,-13.11283,-18.978059,8750.89,3/day,True,False,True,3,False,5,1,1,1,1
3971.25,Restaurants,P2P,-23.898771,81.760634,8348.14,1/day,True,True,False,4,False,16,4,1,1,1
4376.74,Groceries,P2M,11.3839985,12.669192,1719.74,1/day,True,True,False,0,False,3,1,1,1,1
8425.76,Electronics,P2P,-31.5385085,-90.149026,3549.25,1/day,False,True,True,2,False,14,3,1,1,1
9315.06,Clothing,P2M,35.313228,-154.90696,7012.32,1/day,True,True,True,0,False,11,2,1,1,1
1256.88,Entertainment,P2P,-0.372528,82.502194,5449.29,5/day,False,True,True,3,False,12,6,1,1,1
9026.54,Groceries,P2P,88.823638,-130.84316,103.52,1/day,True,True,False,0,True,19,3,1,1,1
336.9,Restaurants,P2M,74.797699,69.024996,2841.42,1/day,False,False,True,4,False,18,5,1,1,1
9789.61,Entertainment,P2M,12.0904405,97.225328,8585.66,5/day,False,True,True,3,False,21,0,1,1,1
246.37,Entertainment,P2P,-60.2614515,-164.705334,8174.85,1/day,False,True,False,3,False,15,0,1,1,1
1077.17,Utilities,P2M,46.3002825,-151.270425,8450.88,3/day,False,True,True,4,True,9,1,1,1,1
2552.08,Utilities,P2M,66.1544005,91.568951,9501.7,5/day,True,False,True,1,False,10,0,1,1,1
6829.7,Utilities,P2P,13.886899,177.225875,1593.27,3/day,False,False,True,1,False,1,4,1,1,1
5567.85,Clothing,P2M,-27.262066,-119.773462,2537.31,3/day,False,True,True,4,False,5,2,1,1,1
6714.91,Travel,P2M,58.432388,-28.533927,5247.31,1/day,True,True,True,1,False,5,3,1,1,1
9110.75,Clothing,P2M,33.7433525,123.138586,4644.74,1/day,True,False,False,4,False,10,2,1,1,1
6366.93,Electronics,P2M,65.286917,144.580319,9176.72,5/day,True,True,True,2,False,4,6,1,1,1
8318.91,Clothing,P2M,-74.5795065,-77.308053,3973.17,3/day,False,True,False,1,False,6,5,1,1,1
5074.9,Travel,P2M,-85.6998175,8.65445,9760.85,5/day,True,True,True,0,False,17,5,1,1,1
9268.33,Clothing,P2P,85.123754,-27.253658,535.73,3/day,False,True,False,4,False,4,2,1,1,1
978.91,Restaurants,P2P,-70.900291,150.350118,2520.22,5/day,True,False,False,1,False,11,6,1,1,1
7495.88,Travel,P2P,24.304173,-65.418981,3573.4,5/day,True,True,False,4,False,17,3,1,1,1
3709.33,Clothing,P2M,4.0661365,-3.405699,500.88,5/day,False,False,False,2,False,23,4,1,1,1
8227.26,Travel,P2P,63.5596365,-155.362682,5482.99,1/day,True,True,True,4,False,14,3,1,1,1
8884.03,Entertainment,P2M,-36.994206,75.995863,9653.57,1/day,True,False,False,1,False,19,4,1,1,1
7345.78,Utilities,P2M,59.1352685,141.865864,7403.02,1/day,True,False,True,1,True,22,2,1,1,1
8515.2,Entertainment,P2M,-80.0451985,-89.222696,7599.99,3/day,False,False,True,0,False,3,2,1,1,1
7748.15,Electronics,P2P,48.287809,-155.507314,2420.02,1/day,False,False,True,0,False,13,0,1,1,1
5864.27,Groceries,P2P,39.512426,-123.607838,3329.0,1/day,False,False,False,1,False,21,4,1,1,1
4114.46,Clothing,P2M,-49.0163175,-101.017772,2769.6,3/day,False,False,False,2,True,21,5,1,1,1
5091.57,Restaurants,P2P,-20.899796,-60.923401,1739.52,3/day,False,True,True,2,False,7,2,1,1,1
4858.26,Groceries,P2M,66.26304,100.46282,8702.46,1/day,False,False,False,1,False,0,2,1,1,1
5655.76,Groceries,P2P,57.471781,142.94179,7981.32,3/day,True,True,False,1,False,23,2,1,1,1
2827.64,Electronics,P2M,-57.8725535,-118.607753,5322.19,5/day,True,True,False,1,False,2,1,1,1,1
5991.57,Electronics,P2M,-46.9480935,67.23779,3004.99,5/day,True,True,False,2,False,9,3,1,1,1
1138.21,Restaurants,P2M,-31.6005505,-30.387028,1529.56,3/day,False,True,False,4,False,21,5,1,1,1
4883.66,Restaurants,P2P,-10.4772235,77.521518,2957.9,5/day,False,True,False,0,False,6,3,1,1,1
3738.28,Electronics,P2M,8.8606235,95.523582,2494.5,1/day,False,False,False,3,False,6,5,1,1,1
1399.25,Clothing,P2M,-32.1165675,149.815507,202.4,1/day,False,True,True,1,False,5,1,1,1,1
5598.7,Travel,P2M,-87.923992,63.017033,599.86,5/day,True,True,True,3,False,15,4,1,1,1
7145.78,Electronics,P2M,-81.0056665,129.288207,753.68,5/day,False,False,False,4,False,13,1,1,1,1
1449.93,Electronics,P2M,67.8347645,-78.430625,8815.99,3/day,False,False,False,2,False,16,0,1,1,1
1304.29,Travel,P2M,-14.475298,-63.144751,9511.61,3/day,True,False,False,0,True,14,4,1,1,1
5844.92,Groceries,P2P,-19.935234,-41.531725,6980.68,1/day,True,False,True,4,True,8,3,1,1,1
1415.25,Restaurants,P2P,-64.657027,81.733259,2087.82,3/day,True,False,False,2,False,14,3,1,1,1
9303.35,Restaurants,P2P,44.756684,-152.429241,8814.37,5/day,True,True,True,3,False,13,6,1,1,1
7209.29,Groceries,P2P,-20.423385,-7.010985,3077.5,5/day,False,False,False,4,False,3,1,1,1,1
5399.86,Entertainment,P2P,24.943617,-58.456929,3708.32,5/day,False,False,False,3,False,1,3,1,1,1
9451.98,Groceries,P2P,-29.098702,39.607999,9528.73,1/day,True,True,False,1,False,6,0,1,1,1
1316.73,Electronics,P2P,-59.149057,69.471291,8942.1,5/day,False,True,False,2,False,12,3,1,1,1
2062.88,Utilities,P2M,-36.008473,-179.121532,9242.93,5/day,True,False,True,3,False,20,2,1,1,1
7924.5,Restaurants,P2M,54.648018,52.724001,3101.53,5/day,True,True,True,0,False,2,1,1,1,1
6945.6,Travel,P2M,79.8597545,25.413155,160.05,1/day,True,False,False,1,False,8,5,1,1,1
4743.95,Clothing,P2M,9.229855,57.608957,2895.05,3/day,False,False,False,1,False,15,5,1,1,1
4181.55,Clothing,P2M,73.4056565,-21.654812,7916.98,3/day,True,False,False,0,False,0,5,1,1,1
8911.6,Utilities,P2P,16.1478805,-9.369715,7926.22,3/day,True,True,True,0,True,19,3,1,1,1
7108.91,Entertainment,P2P,46.720537,30.750102,8743.21,3/day,False,False,True,0,False,13,2,1,1,1
2389.36,Groceries,P2P,-24.584648,107.294379,4435.56,1/day,False,False,False,1,False,2,2,1,1,1
7170.29,Travel,P2P,-56.001868,-65.861638,1629.41,5/day,True,False,True,4,False,0,6,1,1,1
8144.79,Clothing,P2P,13.5488935,-80.044365,5695.86,5/day,True,False,False,3,False,15,6,1,1,1
5300.35,Clothing,P2M,44.034748,63.654416,5727.9,1/day,False,False,True,2,False,21,2,1,1,1
5896.2,Travel,P2M,-44.6705845,148.94893,9725.52,1/day,True,True,False,2,False,6,2,1,1,1
1715.81,Electronics,P2P,16.21448,148.311692,3695.46,5/day,False,False,False,4,False,5,0,1,1,1
2011.16,Electronics,P2M,-57.534953,-26.441654,6505.82,1/day,False,True,True,1,False,0,6,1,1,1
2202.54,Travel,P2P,78.5784685,-3.423839,6467.28,5/day,False,True,False,4,False,18,2,1,1,1
4153.99,Electronics,P2M,-44.2156405,-115.250614,2940.52,3/day,True,False,False,4,False,2,1,1,1,1
8330.0,Electronics,P2P,75.4829475,79.427628,9727.97,1/day,False,False,True,1,False,23,3,1,1,1
2762.59,Groceries,P2M,-36.025718,9.197969,6472.61,5/day,False,False,False,1,False,16,4,1,1,1
2368.96,Entertainment,P2P,11.7902315,-24.54873,5586.07,5/day,False,True,True,4,True,16,1,1,1,1
7257.23,Utilities,P2P,68.566026,147.536203,1481.46,3/day,False,True,True,4,True,8,5,1,1,1
7819.82,Groceries,P2P,74.3191225,73.465472,7093.92,3/day,False,False,False,1,False,10,4,1,1,1
8588.64,Restaurants,P2P,-56.8693255,-3.349539,4088.26,5/day,True,True,False,0,False,16,5,1,1,1
4280.32,Groceries,P2M,-6.199039,-52.687024,5736.38,5/day,True,False,False,3,False,11,3,1,1,1
3162.16,Restaurants,P2M,-29.091425,-15.881386,16.14,3/day,True,False,False,3,False,11,3,1,1,1
1024.38,Groceries,P2P,-60.555319,-146.970253,4817.55,3/day,False,False,True,2,False,19,6,1,1,1
5203.39,Entertainment,P2M,55.9576665,129.752693,5336.2,1/day,False,False,True,1,False,16,1,1,1,1
6522.6,Travel,P2M,39.976169,15.612822,4006.06,1/day,False,False,True,3,False,7,4,1,1,1
4129.55,Electronics,P2P,-68.3731035,58.853434,8649.78,1/day,True,True,True,4,False,1,3,1,1,1
3324.28,Entertainment,P2P,-83.613773,-85.264222,4158.26,5/day,False,True,False,4,False,17,6,1,1,1
9750.95,Clothing,P2M,32.926531,12.36203,9131.12,3/day,True,False,False,0,False,9,5,1,1,1
2588.4,Travel,P2M,-15.083167,-110.246726,830.71,1/day,False,True,True,2,False,4,2,1,1,1
8030.26,Entertainment,P2P,61.992193,41.292288,8410.51,5/day,True,True,True,2,False,16,1,1,1,1
2567.75,Travel,P2M,-57.968928,-55.182344,5043.9,3/day,False,True,True,4,False,12,1,1,1,1
3635.06,Electronics,P2M,9.655368,106.997796,4169.61,5/day,False,True,True,4,False,0,5,1,1,1
9189.74,Travel,P2P,-65.5258275,-145.143182,5390.94,1/day,True,True,False,0,True,4,2,1,1,1
1444.3,Entertainment,P2P,2.7400535,112.404804,9264.46,1/day,False,False,False,1,True,23,3,1,1,1
2077.81,Restaurants,P2P,49.2327835,62.323308,8844.76,3/day,True,True,True,4,False,7,3,1,1,1
6151.53,Electronics,P2M,-77.800226,15.143892,325.58,1/day,False,True,True,0,False,11,1,1,1,1
1290.21,Restaurants,P2M,63.0103475,-105.361683,9590.17,5/day,False,True,False,4,False,4,6,1,1,1
2325.3,Entertainment,P2M,5.5945775,141.769084,9173.32,3/day,False,False,True,1,False,5,3,1,1,1
6033.89,Utilities,P2P,65.5184915,144.448578,1673.89,1/day,False,False,False,4,False,19,6,1,1,1
75.45,Entertainment,P2P,21.9833045,175.589362,6538.36,5/day,True,False,False,1,False,21,0,1,1,1
8487.86,Entertainment,P2M,-27.9584795,172.23049,276.06,3/day,True,False,True,1,False,3,1,1,1,1
9429.31,Clothing,P2M,-46.4106365,-113.583495,6885.2,1/day,True,True,False,0,False,11,0,1,1,1
4681.99,Restaurants,P2P,51.749732,-144.126844,7572.6,3/day,False,False,True,1,True,6,3,1,1,1
9528.91,Groceries,P2P,30.314409,-108.927495,6503.51,3/day,True,False,False,0,False,5,1,1,1,1
2871.65,Travel,P2M,-16.7258415,130.315584,5316.5,3/day,False,False,False,0,True,6,6,1,1,1
6241.69,Clothing,P2P,27.447273,95.498467,319.23,1/day,True,False,False,2,False,18,4,1,1,1
2370.08,Entertainment,P2M,-31.197583,-11.211889,3885.47,1/day,False,True,True,1,False,16,5,1,1,1
7213.95,Electronics,P2M,14.342013,-25.403894,2254.96,1/day,False,False,True,1,False,13,0,1,1,1
1093.81,Restaurants,P2P,-10.965077,-32.168437,5448.15,5/day,False,False,True,3,False,16,1,1,1,1
4243.9,Groceries,P2P,19.156242,-115.995123,2126.29,5/day,True,True,True,3,False,0,0,1,1,1
8403.41,Restaurants,P2P,65.7704205,94.688773,6687.62,5/day,True,True,True,1,False,1,6,1,1,1
3254.51,Utilities,P2M,74.188347,14.071265,3493.46,3/day,False,True,True,0,False,11,1,1,1,1
6913.36,Restaurants,P2P,0.6614505,51.356925,226.38,1/day,True,True,False,4,False,19,1,1,1,1
7740.94,Travel,P2M,47.237294,-17.566806,1002.5,3/day,True,True,False,1,False,9,5,1,1,1
7907.14,Groceries,P2M,87.0519585,141.331119,5052.89,1/day,True,False,False,1,False,7,5,1,1,1
8455.36,Groceries,P2P,21.3945575,-113.110485,6590.17,3/day,False,False,True,1,False,6,2,1,1,1
756.89,Travel,P2P,42.296314,-27.583622,2399.89,5/day,True,True,False,1,False,3,1,1,1,1
1322.99,Restaurants,P2P,22.8603895,-62.551413,8405.19,3/day,False,False,False,1,False,21,3,1,1,1
4296.88,Clothing,P2P,-71.631956,178.065699,1095.57,3/day,True,True,False,2,False,16,5,1,1,1
8837.42,Travel,P2P,-11.0779745,149.211856,2162.91,1/day,False,True,False,2,False,15,2,1,1,1
8483.93,Travel,P2M,-71.5154665,-29.020518,2980.9,5/day,True,False,False,4,False,16,3,1,1,1
4712.47,Restaurants,P2P,28.1280255,-78.487277,6729.72,3/day,False,False,False,1,False,10,6,1,1,1
2066.31,Restaurants,P2M,23.8812675,-28.635434,9623.11,3/day,True,True,False,3,False,3,5,1,1,1
6283.3,Electronics,P2M,55.1267885,18.14797,9363.57,5/day,True,False,True,3,False,8,3,1,1,1
8417.06,Clothing,P2M,89.0666135,-113.172729,5827.22,1/day,False,False,False,3,False,12,2,1,1,1
5244.84,Restaurants,P2P,-88.979307,42.11947,7785.76,1/day,True,False,False,4,True,20,0,1,1,1
5025.82,Entertainment,P2P,85.0847855,-49.773756,3059.27,1/day,False,True,True,4,False,7,1,1,1,1
3303.55,Entertainment,P2M,18.960998,-50.32406,7959.3,3/day,False,True,True,0,False,4,4,1,1,1
3042.58,Travel,P2M,42.0476575,-143.711985,3289.18,3/day,False,False,True,4,False,19,5,1,1,1
3470.11,Clothing,P2P,-33.763277,-142.126,8589.67,1/day,False,False,False,0,False,23,0,1,1,1
1876.07,Restaurants,P2P,71.295148,81.113786,3520.06,1/day,True,False,False,4,False,8,5,1,1,1
7467.4,Restaurants,P2M,-8.2933445,75.921619,4022.27,5/day,False,False,True,0,True,20,0,1,1,1
5054.81,Utilities,P2M,33.7171265,122.797535,9956.13,3/day,False,True,False,4,False,18,3,1,1,1
1301.0,Utilities,P2M,-53.140258,-75.332817,4878.11,3/day,False,False,False,1,False,8,1,1,1,1
7295.38,Travel,P2M,20.239897,133.250504,1439.17,3/day,False,True,True,3,False,5,1,1,1,1
7914.25,Utilities,P2M,83.833919,-168.864196,433.43,5/day,False,False,True,4,False,11,1,1,1,1
8984.3,Travel,P2P,73.224852,97.713067,2275.76,5/day,False,False,False,4,True,13,3,1,1,1
673.67,Restaurants,P2P,-51.9109375,42.306454,4386.56,5/day,False,False,False,1,False,13,2,1,1,1
9607.92,Electronics,P2M,-73.941607,-89.258378,7877.37,1/day,False,True,False,1,False,22,2,1,1,1
7373.27,Travel,P2P,59.9637585,2.736053,6502.97,3/day,True,True,False,4,False,9,1,1,1,1
2118.41,Electronics,P2P,45.5358055,-72.291636,5022.27,1/day,False,True,False,0,False,22,6,1,1,1
9563.0,Groceries,P2P,34.6085355,156.461273,8311.1,1/day,True,False,True,3,False,16,4,1,1,1
7963.95,Travel,P2M,65.237346,90.180522,2286.8,1/day,True,False,True,2,False,15,2,1,1,1
101.87,Electronics,P2P,-31.60781,-41.531426,1083.33,1/day,True,True,False,0,False,8,0,1,1,1
9333.24,Clothing,P2P,-5.7212985,-0.035613,5638.83,1/day,False,False,False,3,False,10,4,1,1,1
8185.32,Clothing,P2M,58.5164975,166.798371,8404.18,3/day,True,False,True,2,True,14,6,1,1,1
3540.3,Entertainment,P2P,65.4670515,-8.046912,2324.14,5/day,True,False,True,1,False,23,4,1,1,1
4730.78,Entertainment,P2M,18.5466255,-155.632961,2743.96,3/day,True,True,True,1,False,20,3,1,1,1
4783.46,Clothing,P2M,-73.682928,-156.311284,3246.29,3/day,False,True,True,0,False,15,6,1,1,1
5873.03,Restaurants,P2P,-33.425635,101.803137,6821.34,5/day,True,False,False,0,False,9,3,1,1,1
6756.34,Utilities,P2P,-66.125137,148.112418,8953.99,3/day,False,False,False,2,False,17,4,1,1,1
3133.57,Electronics,P2M,-29.285847,-6.823951,5897.61,1/day,True,False,False,1,False,19,1,1,1,1
2805.22,Travel,P2M,-6.0531795,-58.528113,4738.71,3/day,True,True,False,1,False,14,5,1,1,1
9115.58,Entertainment,P2M,38.240231,-11.537815,7541.53,1/day,True,False,True,1,False,22,3,1,1,1
6207.79,Groceries,P2P,-26.6574715,-116.484558,1422.65,5/day,False,False,False,3,False,14,3,1,1,1
9438.17,Travel,P2P,88.8777285,-154.083926,902.91,5/day,False,False,True,2,False,1,0,1,1,1
8427.34,Restaurants,P2M,81.0589345,108.684612,9520.4,3/day,True,True,True,3,False,9,2,1,1,1
9136.08,Utilities,P2M,78.086047,34.649353,729.46,1/day,True,False,True,4,False,7,3,1,1,1
8426.65,Clothing,P2M,24.2598855,-171.680472,3193.14,5/day,True,True,True,4,False,5,6,1,1,1
2980.77,Groceries,P2P,-11.5113805,-167.84622,5999.26,5/day,True,True,True,2,False,12,2,1,1,1
9117.8,Travel,P2P,10.6916785,-67.339353,4326.99,3/day,False,True,False,1,False,2,2,1,1,1
3459.91,Entertainment,P2M,42.2323565,109.155855,8250.18,3/day,True,True,True,1,True,15,3,1,1,1
4926.39,Travel,P2M,10.3770515,177.106913,8156.48,3/day,True,True,False,4,False,20,1,1,1,1
9671.22,Electronics,P2P,-16.72609,16.391725,5293.11,1/day,True,False,True,2,False,22,3,1,1,1
6365.77,Entertainment,P2M,-14.104517,-25.650773,5033.3,3/day,True,False,False,3,False,8,3,1,1,1
8278.73,Electronics,P2P,-26.4097595,150.571896,5353.03,3/day,False,True,False,1,False,22,2,1,1,1
5066.6,Travel,P2M,39.1135495,159.416137,9888.88,5/day,True,False,True,1,False,11,0,1,1,1
2542.95,Restaurants,P2M,58.49265,-149.920922,8421.83,1/day,True,False,False,1,False,4,5,1,1,1
9887.12,Groceries,P2M,-37.732511,-135.78626,2678.41,1/day,False,True,False,4,False,18,1,1,1,1
2073.18,Groceries,P2M,54.4972605,145.811542,2877.69,3/day,False,False,False,4,False,1,2,1,1,1
4581.33,Groceries,P2M,69.1136855,-165.566875,3768.27,3/day,False,True,True,3,False,13,0,1,1,1
6453.23,Utilities,P2P,-37.853172,-83.327748,6843.15,1/day,False,False,True,4,False,19,5,1,1,1
704.63,Restaurants,P2M,-60.221433,-46.915654,9491.54,5/day,False,False,False,0,True,15,4,1,1,1
3609.27,Travel,P2M,8.9478905,-81.078434,4880.19,1/day,True,True,True,4,False,10,0,1,1,1
4566.48,Electronics,P2P,36.747377,141.882306,7424.78,5/day,True,True,False,3,False,14,4,1,1,1
6059.22,Groceries,P2P,-80.1809685,42.501674,5334.6,5/day,True,False,True,2,False,2,5,1,1,1
1622.7,Travel,P2M,74.0800965,-135.121943,7065.83,3/day,True,False,True,0,False,9,0,1,1,1
5266.88,Travel,P2P,62.221739,-150.565763,6352.59,3/day,True,False,False,1,False,16,0,1,1,1
5089.56,Restaurants,P2M,37.712935,98.990951,9562.14,5/day,True,True,True,0,False,16,3,1,1,1
4996.14,Restaurants,P2P,-16.989729,-169.733768,2338.21,5/day,True,True,True,3,False,16,5,1,1,1
5746.55,Travel,P2P,4.296594,-142.45247,4254.5,5/day,False,False,False,0,False,1,4,1,1,1
6737.93,Clothing,P2M,-20.4824515,125.816565,1979.91,1/day,False,True,False,1,False,15,2,1,1,1
7628.22,Travel,P2P,-89.1029835,120.361998,9770.26,1/day,True,True,False,3,False,9,3,1,1,1
7925.02,Electronics,P2M,73.348345,-82.343446,41.38,3/day,True,False,False,2,False,6,2,1,1,1
9852.71,Travel,P2P,40.807607,-86.01327,6148.59,5/day,True,True,True,0,False,6,2,1,1,1
8717.11,Restaurants,P2M,-77.183318,41.441625,4033.05,5/day,True,False,True,3,False,1,3,1,1,1
3362.66,Groceries,P2P,11.69584,-124.959768,7459.98,3/day,False,True,True,4,False,15,6,1,1,1
8724.23,Groceries,P2P,2.53635,-177.548308,6403.73,3/day,True,True,False,4,False,0,6,1,1,1
6789.31,Entertainment,P2M,-43.1794045,107.507317,7662.74,1/day,False,True,True,3,False,13,0,1,1,1
117.84,Utilities,P2P,6.8863765,-43.485926,8750.42,3/day,True,True,False,4,False,12,2,1,1,1
2023.17,Travel,P2M,-69.0260095,140.01278,7646.04,1/day,True,False,True,3,False,15,3,1,1,1
9199.27,Electronics,P2P,-85.429285,117.356718,5870.09,5/day,False,False,True,4,False,0,6,1,1,1
7808.87,Groceries,P2P,-63.719617,75.311599,6304.47,3/day,False,True,False,3,False,6,5,1,1,1
7374.31,Entertainment,P2P,-81.211362,76.211759,6480.12,1/day,True,True,False,0,False,10,0,1,1,1
658.03,Utilities,P2P,71.269605,101.274736,7152.9,5/day,True,False,False,4,False,6,5,1,1,1
9881.54,Electronics,P2P,-41.9007455,-68.779685,3899.82,3/day,False,True,True,1,False,17,2,1,1,1
4502.93,Clothing,P2P,64.4229495,37.595817,5317.07,3/day,True,True,True,3,True,11,2,1,1,1
6504.93,Clothing,P2M,9.5853535,-73.258379,1115.19,3/day,True,True,False,4,False,1,4,1,1,1
7593.9,Restaurants,P2M,-60.805135,-30.763835,7074.42,1/day,True,False,True,2,False,8,4,1,1,1
1457.39,Entertainment,P2M,8.6667635,131.685288,5029.68,1/day,True,True,True,2,False,23,3,1,1,1
1557.75,Clothing,P2M,-68.2933735,154.033443,6258.46,1/day,False,False,False,3,False,7,5,1,1,1
1133.58,Entertainment,P2M,14.0445745,-17.625393,7098.16,1/day,True,False,False,0,False,21,3,1,1,1
